fragmentos_fenol,fragmentos_ar_oh,NroAnilloAromatico,NroAnilloNoAromatico,TPSA,donadores_puente_hidrogeno,aceptores_puente_hidrogeno,MolLogP,enlaces_rotables,fraccion_carbono_sp3,conteo_atomos_pesados,refractividad_molar,alfa_hall_kier,carga_parcial_maxima,carga_parcial_minima,carga_parcial_abs_maxima,carga_parcial_abs_minima,kappa_1,kappa_3,chi_0v,chi_2v,chi_4v,coeficiente_qed,num_catecoles,num_resorcinoles,num_hidroquinonas,oh_vecino_a_metoxi
1,1,1,0,46.53,1,3,1.8879,4,0.36363636363636365,14,53.06080000000003,-1.5100000000000002,0.30560561836422623,-0.5079666452401278,0.5079666452401278,0.30560561836422623,10.570064051240992,3.474294283504604,8.19443159674583,2.9714683500313908,1.142170658232324,0.7443257728642194,0,0,0,0
1,1,1,0,40.46,2,2,1.3171,3,0.3333333333333333,11,43.51360000000002,-1.02,0.11509484020585725,-0.5079666452521682,0.5079666452521682,0.11509484020585725,8.080200400801603,2.5967957815864637,6.3251486113180615,2.493607368554277,0.9457956836915452,0.6853134429962167,0,0,0,0
1,1,1,0,29.46,1,2,1.4008,1,0.14285714285714285,9,34.6588,-1.1800000000000002,0.159973721120165,-0.5042548357902157,0.5042548357902157,0.159973721120165,5.947877237851663,1.1340794947334671,5.164862962722324,1.6718488391821222,0.6297770429967046,0.6127725486570802,0,0,0,0
1,1,1,0,38.69,1,3,1.9372999999999996,4,0.4,13,49.98880000000003,-1.22,0.16033583260002549,-0.5042545886797973,0.5042545886797973,0.16033583260002549,9.864889643463497,2.628719697439394,7.909974546369657,2.643338031274459,1.0317319465276849,0.7729055300855044,0,0,0,0
1,1,1,0,58.56,2,3,3.789600000000002,9,0.5,22,88.95150000000005,-1.9699999999999998,0.21976034748769738,-0.5042545920952964,0.5042545920952964,0.21976034748769738,18.079925112331505,7.1570315426235425,13.76334569749818,5.700882111716636,2.037167368743356,0.5388605597174689,0,0,0,0
1,1,1,0,46.53,1,3,1.9223999999999997,4,0.36363636363636365,14,53.66080000000004,-1.51,0.1602490486541828,-0.5042546045039152,0.5042546045039152,0.1602490486541828,10.570064051240992,2.763338518387002,8.409974546369657,3.20821628727292,1.1979102752022517,0.7960919268233742,0,0,0,0
1,1,1,0,29.46,1,2,2.353300000000001,3,0.4,12,48.65380000000003,-1.18,0.16024884024188712,-0.5042546045118025,0.5042546045118025,0.16024884024188712,8.912421441774493,1.9064705824134964,7.501726255905794,2.7562011841503082,1.1662168061916751,0.7464613931512205,0,0,0,0
1,1,1,0,38.69,1,3,1.4093999999999995,2,0.25,11,41.21080000000002,-1.3800000000000001,0.2002294571644853,-0.5016997255218006,0.5016997255218006,0.2002294571644853,7.723950103950104,1.3676066560376265,6.495760983996562,2.0111400514993116,0.8316314141328983,0.6994965906696746,0,0,0,0
1,1,1,0,29.46,1,2,2.698300000000001,1,0.45454545454545453,13,53.358800000000045,-1.18,0.11907032868407832,-0.5076493680895532,0.5076493680895532,0.11907032868407832,9.90460236886633,2.142679086551924,8.5875126935327,4.133079518565643,1.242844564492559,0.7196204900637713,0,0,0,0
1,1,1,0,29.46,1,2,1.7092199999999997,1,0.25,10,39.39580000000001,-1.18,0.1602383079639696,-0.5042546064276908,0.5042546064276908,0.1602383079639696,6.933378684807257,1.2095233527616807,6.087512693532699,2.175303162876071,0.7848439686222126,0.6397107129957215,0,0,0,0
1,1,1,0,29.46,1,2,2.4339000000000013,2,0.2,12,49.36680000000003,-1.44,0.16057154455054337,-0.504254343573977,0.504254343573977,0.16057154455054337,8.654696969696971,1.7840075614366737,7.2422132319119505,2.4312862270197786,0.990334334230321,0.7269926580745424,0,0,0,0
1,1,1,0,29.46,1,2,2.1293,3,0.2,12,48.559800000000024,-1.4400000000000002,0.16026030577317685,-0.5042546024667084,0.5042546024667084,0.16026030577317685,8.654696969696971,1.7840075614366737,7.07907652509542,2.499000463977052,1.0156731681243487,0.6932796632293877,0,0,0,0
1,1,1,0,29.46,1,2,1.4008,1,0.14285714285714285,9,34.6588,-1.1800000000000002,0.11862884646960269,-0.5079622349506875,0.5079622349506875,0.11862884646960269,5.947877237851663,1.3533930115039927,5.164862962722325,1.698025295374609,0.5822209453229111,0.6127725486570802,0,0,0,0
1,1,1,0,55.76,1,4,1.2218999999999998,3,0.2222222222222222,13,46.59830000000002,-1.7100000000000002,0.20027967436059455,-0.5016991880642587,0.5016991880642587,0.20027967436059455,9.378573959255977,1.7177515211299148,7.404009274460425,2.391882893228674,0.9818018454808887,0.7139059911063813,0,0,0,0
1,1,1,0,29.46,1,2,1.9631999999999996,2,0.3333333333333333,11,44.03680000000003,-1.18,0.16024866489326003,-0.5042546045190337,0.5042546045190337,0.16024866489326003,7.921832993890022,1.6391714308089909,6.794619474719247,2.3597545747435817,0.9419527574285493,0.7015523595771086,0,0,0,0
1,1,1,0,46.53,1,3,1.2133,2,0.125,11,40.046300000000016,-1.51,0.1606893236526212,-0.5042543227773111,0.5042543227773111,0.1606893236526212,7.595374077976819,1.490370509139573,6.073111253186188,2.049137357217536,0.7675205674503294,0.6477438574453785,0,0,0,0
1,1,1,0,29.46,1,2,1.4007999999999996,1,0.14285714285714285,9,34.6588,-1.1800000000000002,0.12204628002540481,-0.5078231992316957,0.5078231992316957,0.12204628002540481,5.947877237851663,1.3533930115039927,5.164862962722324,1.7014796190685573,0.6104858103726772,0.6127725486570802,0,0,0,0
